epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,740.186,1.62758,1.61851,1.7372,0.61204,0.60762,0.61144,0.28924,1.78196,1.66296,1.95388,0.00157925,0.00157925,0.00157925
19,779.854,1.61929,1.58925,1.72327,0.69888,0.52691,0.63773,0.28844,1.7222,1.53201,1.93644,0.0015545,0.0015545,0.0015545
20,819.439,1.60713,1.57738,1.71595,0.70013,0.6009,0.65146,0.3135,1.73298,1.42292,1.91577,0.00152975,0.00152975,0.00152975
21,859.105,1.59098,1.51203,1.68739,0.68235,0.52691,0.62251,0.31812,1.71192,1.52483,1.89531,0.001505,0.001505,0.001505
22,898.613,1.59617,1.52814,1.71268,0.64595,0.61361,0.61936,0.3075,1.72673,1.50758,1.95322,0.00148025,0.00148025,0.00148025
23,938.194,1.59737,1.51676,1.70927,0.69978,0.56054,0.62705,0.31041,1.75252,1.49333,1.92057,0.0014555,0.0014555,0.0014555
24,977.809,1.56851,1.49059,1.69151,0.70754,0.56054,0.65143,0.33176,1.66867,1.42657,1.86913,0.00143075,0.00143075,0.00143075
25,1017.45,1.56732,1.47699,1.67916,0.69296,0.62556,0.66885,0.34556,1.66907,1.3612,1.89839,0.001406,0.001406,0.001406
26,1057.2,1.54288,1.41207,1.66026,0.67299,0.60762,0.66028,0.31936,1.68771,1.50978,1.89769,0.00138125,0.00138125,0.00138125
27,1096.93,1.53919,1.40853,1.64551,0.71768,0.53587,0.6322,0.33161,1.73262,1.45864,1.97755,0.0013565,0.0013565,0.0013565
28,1136.37,1.53204,1.41818,1.64417,0.72337,0.63229,0.71461,0.35886,1.65912,1.30578,1.87209,0.00133175,0.00133175,0.00133175
29,1175.76,1.50618,1.38424,1.64006,0.71725,0.62108,0.6891,0.34465,1.66309,1.34899,1.86765,0.001307,0.001307,0.001307
30,1215.27,1.51751,1.36956,1.63213,0.74556,0.63453,0.70986,0.37547,1.64383,1.30151,1.83274,0.00128225,0.00128225,0.00128225
31,1255.02,1.51199,1.36656,1.63236,0.71365,0.6538,0.72085,0.36481,1.60668,1.31189,1.80978,0.0012575,0.0012575,0.0012575
32,1294.56,1.50428,1.34745,1.62682,0.70391,0.61883,0.71063,0.3786,1.59128,1.27396,1.80914,0.00123275,0.00123275,0.00123275
33,1334.39,1.47927,1.31825,1.60429,0.66016,0.67947,0.70273,0.37741,1.58335,1.27423,1.7755,0.001208,0.001208,0.001208
34,1374.17,1.46956,1.3121,1.60368,0.79973,0.68045,0.76326,0.41003,1.56995,1.15186,1.76252,0.00118325,0.00118325,0.00118325
35,1413.75,1.44968,1.28731,1.58255,0.72269,0.64276,0.72239,0.37893,1.5963,1.2517,1.81374,0.0011585,0.0011585,0.0011585
36,1454.2,1.46009,1.28136,1.59405,0.78514,0.69058,0.77245,0.43035,1.53911,1.12802,1.75571,0.00113375,0.00113375,0.00113375
37,1494.59,1.45575,1.24292,1.58428,0.71396,0.68278,0.74003,0.4049,1.50691,1.20655,1.76955,0.001109,0.001109,0.001109
38,1534.56,1.44104,1.23168,1.58228,0.76476,0.6704,0.74866,0.41221,1.56087,1.18208,1.75725,0.00108425,0.00108425,0.00108425
39,1574.59,1.432,1.19937,1.57074,0.72488,0.68161,0.74604,0.41726,1.50566,1.17908,1.73158,0.0010595,0.0010595,0.0010595
40,1614.72,1.41894,1.22112,1.56694,0.70814,0.70177,0.72452,0.39525,1.55768,1.22773,1.78873,0.00103475,0.00103475,0.00103475
41,1654.97,1.40287,1.15977,1.54552,0.76198,0.70179,0.75712,0.43227,1.48049,1.09051,1.69672,0.00101,0.00101,0.00101
